PlateName	PlateID	wellLocation	ReagentClass	ReagentID	PCA01	PCA02	PCA03	PCA04	PCA05	PCA06	PCA07	DistanceScore	pvalue	PercentageMissingPerRecord	V1	AreaShapeSpatialMoment23C	Compound	IRstatut	Wellnumber	XPlate	Concentration	Category	XsplitColumn	Raw_AreaShapeAreaC
3	1	i14	SAMPLE	Enzalutamide	-0.471277091714157	-1.32315208800795	1.64989964412139	-0.0164070787447004	1.27888038356008	-0.015222934080255	-0.411092828126799	1.69102405736662	0	0	511	655190292759173760	Enzalutamide	+ IR	I14	AstroD-IR-3uM-plate1	3uM	SAMPLE	AstroD-IR-3uM-plate1	112024.727272727
3	1	j07	SAMPLE	Baricitinib	-1.35726557208111	-0.925465237422222	1.44511198126623	-1.20509001123972	1.93729113030672	0.894389431103266	0.938521479200539	1.55298701536591	0	0	415	2091802488929377024	Baricitinib	+ IR	J07	AstroD-IR-3uM-plate1	3uM	SAMPLE	AstroD-IR-3uM-plate1	142006.333333333
4	1	g16	SAMPLE	Torezolid	-0.477170819070451	-0.135441907635717	0.104194155789137	-0.349012725109722	0.695175783929166	-0.365821327156795	1.18188226996211	1.53488789773788	0	0	727	731302680136903680	Torezolid	+ IR	G16	AstroD-IR-3uM-plate2	3uM	SAMPLE	AstroD-IR-3uM-plate2	101323.484848485
2	1	i09	SAMPLE	Osimertinib mesylate	-0.403444869380312	-1.27130345940153	-0.0620641507734602	1.1835511710777	1.05831616123367	0.318380268903932	0.84882847710675	1.50231918796481	1.6146877976769e-293	0	269	791020988694509696	Osimertinib mesylate	+ IR	I09	AstroD-IR-1uM-plate2	1uM	SAMPLE	AstroD-IR-1uM-plate2	88939.2380952381
2	1	f10	SAMPLE	Pazopanib	-1.03766280322386	-0.353768921783487	0.587678674197409	0.482585006278907	0.303399933520857	-0.266489938767884	1.1457973119274	1.4879689611462	3.3164154457517e-287	0	278	1110856166924405376	Pazopanib	+ IR	F10	AstroD-IR-1uM-plate2	1uM	SAMPLE	AstroD-IR-1uM-plate2	111847.230769231
2	1	e19	NEGATIVE	DMSO	0.493650698058952	0.3939130217221	-0.436143212575846	0.177666865262428	1.67991060333732	-0.00643781440736047	1.31886179634065	1.48526709848649	4.77592282249594e-286	0	204	461680073935225856	DMSO	+ IR	E19	AstroD-IR-1uM-plate2	1uM	NEG	AstroD-IR-1uM-plate2	84326.7619047619
1	1	d05	SAMPLE	10-Hydroxycamptothecin	1.11740607631981	0.0581744170454908	0.319848383906439	2.13831909317956	1.84959270600255	0.932803000455911	0.185190890700764	1.47274793005326	1.31203206579845e-280	0	5	202600501673883456	10-Hydroxycamptothecin	+ IR	D05	AstroD-IR-1uM-plate1	1uM	SAMPLE	AstroD-IR-1uM-plate1	76208.3404255319
4	1	e19	NEGATIVE	DMSO	-0.511695533062234	-0.130339968393365	0.630111826334492	-0.743014411988948	1.13205509064449	1.03511486285092	0.78853370574718	1.47140852571029	4.72834785339311e-280	0	582	587272374932620160	DMSO	+ IR	E19	AstroD-IR-3uM-plate2	3uM	NEG	AstroD-IR-3uM-plate2	99974.1034482759
2	1	e18	SAMPLE	Volasertib	0.802629817199771	0.636230458005051	0.230602734141726	0.4706537974367	1.41729680178532	-0.260573433887711	1.17137670678424	1.47015819578958	1.56168797784262e-279	0	375	572437728078794880	Volasertib	+ IR	E18	AstroD-IR-1uM-plate2	1uM	SAMPLE	AstroD-IR-1uM-plate2	91490.2608695652
3	1	i10	SAMPLE	Cepharanthine	0.726510318862856	-0.0319239329858614	-0.199670213372195	-0.199017113952433	2.28770917246583	-0.77873529116703	1.01997229123423	1.46787246948495	1.45029162290877e-278	0	449	1021570453136945408	Cepharanthine	+ IR	I10	AstroD-IR-3uM-plate1	3uM	SAMPLE	AstroD-IR-3uM-plate1	80078.8780487805
4	1	d18	SAMPLE	Vitamin D2	-0.043347902721027	-0.0798647442263792	0.094903844744821	-1.11411103745447	1.22757571439581	0.0158275477144365	1.32884724254189	1.46548391503167	1.48959078213008e-277	0	750	2196384476789312512	Vitamin D2	+ IR	D18	AstroD-IR-3uM-plate2	3uM	SAMPLE	AstroD-IR-3uM-plate2	100941.083333333
4	1	e09	SAMPLE	NVP-LDE225	-0.340682094613573	0.119790616803582	-0.435310265273063	-0.598500991318265	1.04597399251153	0.64243549745902	0.517572213207984	1.46234059780204	3.22918509946328e-276	0	641	416514595370155200	NVP-LDE225	+ IR	E09	AstroD-IR-3uM-plate2	3uM	SAMPLE	AstroD-IR-3uM-plate2	82629.5652173913
2	1	f16	SAMPLE	Toremifene citrate	0.184863363202457	-0.54703877171648	1.1296160779592	-0.243687845392198	0.743328616903049	-1.25040115018745	1.41789605477077	1.46118114735587	9.75459654311313e-276	0	351	3114478588673187840	Toremifene citrate	+ IR	F16	AstroD-IR-1uM-plate2	1uM	SAMPLE	AstroD-IR-1uM-plate2	108326.945945946
4	1	i07	SAMPLE	Miriplatin	-0.337654983585714	-0.999277963599974	2.09886816177884	0.35460168304647	1.96720321814101	2.22162014843736	-0.202499455861256	1.45618767215003	1.30749911883676e-273	0	623	3512630019988519424	Miriplatin	+ IR	I07	AstroD-IR-3uM-plate2	3uM	SAMPLE	AstroD-IR-3uM-plate2	100871.333333333
4	1	h15	SAMPLE	Thalidomide	0.141749154455469	-0.63328874203382	-1.10225181630129	-0.645997313431781	1.09645628488171	-0.062899866209839	-0.892795768389741	1.44828741717574	2.99454649183761e-270	0	716	453408774303779456	Thalidomide	+ IR	H15	AstroD-IR-3uM-plate2	3uM	SAMPLE	AstroD-IR-3uM-plate2	73261.9565217391
2	1	c18	SAMPLE	Vismodegib	-0.348195139790212	0.224045374469568	0.498788827194373	-0.749417429985932	0.32812764971486	-0.930556502575574	0.249517858205647	1.4455229701133	4.32738519380484e-269	0	373	2194383743765275136	Vismodegib	+ IR	C18	AstroD-IR-1uM-plate2	1uM	SAMPLE	AstroD-IR-1uM-plate2	107157.054054054
2	1	j04	SAMPLE	BML-281	-2.96884487937466	0.774126517766662	1.51538726670815	-1.38216393584357	1.3746620522607	1.3511194740084	-0.284554857595603	1.43978813446945	1.13021440986762e-266	0	198	1675971343187458816	BML-281	+ IR	J04	AstroD-IR-1uM-plate2	1uM	SAMPLE	AstroD-IR-1uM-plate2	127334.727272727
4	1	e08	SAMPLE	Neratinib	0.00836118410451621	-0.618697791973552	-0.273919933936313	0.14968743777672	0.356748972436412	-0.884219500873592	0.927517726857121	1.42815577331715	8.69026936166016e-262	0	630	390271626941901696	Neratinib	+ IR	E08	AstroD-IR-3uM-plate2	3uM	SAMPLE	AstroD-IR-3uM-plate2	100680.105263158
3	1	c11	SAMPLE	Ciclopirox ethanolamine	-0.532301422620391	-2.77790834791704	-0.836487530865993	0.820859719551694	0.415300937737792	1.03499975449462	-1.81794536415872	1.42772424032051	1.27279052622406e-261	0	455	749048589966142592	Ciclopirox ethanolamine	+ IR	C11	AstroD-IR-3uM-plate1	3uM	SAMPLE	AstroD-IR-3uM-plate1	88220.7837837838
3	1	m15	SAMPLE	Fluorocytosine	-0.997947798069158	-0.476846490328467	0.160258604674295	0.00238117028293189	-0.324220834455943	-0.175068532236277	-0.716335992995238	1.42512731171632	1.50568217514349e-260	0	528	1059209449322721920	Fluorocytosine	+ IR	M15	AstroD-IR-3uM-plate1	3uM	SAMPLE	AstroD-IR-3uM-plate1	103300.305555556
2	1	d07	SAMPLE	Menatetrenone	-0.883988947251736	0.418705763772492	0.567530033768326	0.498835845357616	0.246813441896239	-0.566455384528207	0.0133841512354759	1.42404433380534	4.13444477100145e-260	0	241	419395146110841600	Menatetrenone	+ IR	D07	AstroD-IR-1uM-plate2	1uM	SAMPLE	AstroD-IR-1uM-plate2	94750.1666666667
1	1	j07	SAMPLE	Baricitinib	-0.120562845787941	-2.57302111503529	-0.735485248849	0.594539616587288	0.48248464849697	-0.219683011742082	-0.806214878505736	1.42249935556417	1.77046751757075e-259	0	35	826425015510994944	Baricitinib	+ IR	J07	AstroD-IR-1uM-plate1	1uM	SAMPLE	AstroD-IR-1uM-plate1	91024.6666666667
2	1	c16	SAMPLE	Topotecan	1.01783292557042	0.0868845796168746	0.916557364378888	1.86438667302412	1.49639444868203	0.303574824468506	1.62752219634533	1.41677387804749	4.1657965218593e-257	0	348	720260212904978944	Topotecan	+ IR	C16	AstroD-IR-1uM-plate2	1uM	SAMPLE	AstroD-IR-1uM-plate2	98312.0454545455
2	1	g08	SAMPLE	Nicotinamide	-0.483441945554623	-0.146760216914823	-0.463005195249515	0.415940406771351	1.71652897252264	1.74347620118184	1.18611860675663	1.41588983515907	9.41892674426743e-257	0	255	789094135923696640	Nicotinamide	+ IR	G08	AstroD-IR-1uM-plate2	1uM	SAMPLE	AstroD-IR-1uM-plate2	103099.6
1	1	j15	SAMPLE	Floxuridine	-1.51165228655802	-0.607306272445952	0.375785059205978	0.834290230331739	-0.0985218154414383	0.160895118293858	-0.177774352020148	1.41398136010335	5.66728741432041e-256	0	148	941580284451127040	Floxuridine	+ IR	J15	AstroD-IR-1uM-plate1	1uM	SAMPLE	AstroD-IR-1uM-plate1	119358.3
3	1	n09	SAMPLE	Carmofur	0.390356829023891	-0.810866340643827	2.11696841954269	-0.492894537678784	0.793372349510097	0.254122052365366	-0.969053296695924	1.41367346911551	7.39250970391477e-256	0	443	2544871660597663232	Carmofur	+ IR	N09	AstroD-IR-3uM-plate1	3uM	SAMPLE	AstroD-IR-3uM-plate1	109115.642857143
4	1	h13	SAMPLE	Ruxolitinib	-1.41828003072393	-2.83157061491374	-0.728515587596597	-0.286529250861778	-0.820152947927032	-1.74219176440454	0.471528623833866	1.4111134094859	8.26139174866304e-255	0	692	2736732157057133056	Ruxolitinib	+ IR	H13	AstroD-IR-3uM-plate2	3uM	SAMPLE	AstroD-IR-3uM-plate2	128911
1	1	g15	SAMPLE	Everolimus	-1.07107242253307	-1.09796073731947	-0.548870626591944	2.16798423501133	0.0085491362838517	-0.120011381303777	-0.443756745365373	1.40757681486776	2.32487702113753e-253	0	145	578935257174547456	Everolimus	+ IR	G15	AstroD-IR-1uM-plate1	1uM	SAMPLE	AstroD-IR-1uM-plate1	105135.895833333
1	1	f14	SAMPLE	Entinostat	-1.47557824671228	-0.685347545893063	0.669424867097913	0.490384337124418	-0.660563346196519	-2.12721575241275	0.31156190454888	1.40274001775236	2.21987321837491e-251	0	130	985210298248535424	Entinostat	+ IR	F14	AstroD-IR-1uM-plate1	1uM	SAMPLE	AstroD-IR-1uM-plate1	132006.65625
3	1	f17	SAMPLE	Granisetron hydrochloride	-1.03121616807765	-0.855284426054391	2.19096129494097	0.797908822326989	0.610481985591532	1.61860324499998	0.364180680719359	1.40121695225184	9.13516588644634e-251	0	545	1240634122717927680	Granisetron hydrochloride	+ IR	F17	AstroD-IR-3uM-plate1	3uM	SAMPLE	AstroD-IR-3uM-plate1	100212.974358974
3	1	c13	SAMPLE	Dexmedetomidine	-0.876019409582655	-0.579492515373255	1.40394098954954	0.322739366594806	-0.0105861372938055	-0.679415828970047	0.0573099591457062	1.40072001815019	1.42517743067722e-250	0	480	949312917808608384	Dexmedetomidine	+ IR	C13	AstroD-IR-3uM-plate1	3uM	SAMPLE	AstroD-IR-3uM-plate1	110672.694444444
2	1	f09	SAMPLE	Olaparib	-0.139195312187955	0.139527380749181	0.00190079371221433	-0.850026996485976	0.6715216881413	-0.300279680806819	1.21514119150207	1.39826938549052	1.4047676559927e-249	0	266	1030674818738713984	Olaparib	+ IR	F09	AstroD-IR-1uM-plate2	1uM	SAMPLE	AstroD-IR-1uM-plate2	96216.935483871
2	1	g18	SAMPLE	zanubrutinib	-0.213237021796567	0.486370298233732	1.06332421943888	-1.666716649126	1.10193699071602	0.147804774673306	0.940668768852884	1.39704862036542	4.3337742100628e-249	0	377	1299257574932095744	zanubrutinib	+ IR	G18	AstroD-IR-1uM-plate2	1uM	SAMPLE	AstroD-IR-1uM-plate2	108170.615384615
1	1	c08	SAMPLE	Berbamine dihydrochloride	-1.63047791218779	-0.915306090754319	0.164636313881211	0.751315515002564	-0.588882505132411	-0.467271512388643	-0.47822986379548	1.39084796931271	1.43270116713004e-246	0	40	1092630222645660288	Berbamine dihydrochloride	+ IR	C08	AstroD-IR-1uM-plate1	1uM	SAMPLE	AstroD-IR-1uM-plate1	113996.585365854
4	1	g12	SAMPLE	Regorafenib	0.591641854840771	-1.43916928519707	-1.75102306238246	-0.715518947446239	1.10379966717169	-0.248022373484298	0.537683491698952	1.38874076856092	1.00689704000386e-245	0	676	586732422348875136	Regorafenib	+ IR	G12	AstroD-IR-3uM-plate2	3uM	SAMPLE	AstroD-IR-3uM-plate2	76443.5227272727
4	1	f10	SAMPLE	Pazopanib	-0.137716666814175	-0.347716583849336	-0.36453412474096	0.824182207110514	1.14299035859309	1.55812402803222	0.340107754499349	1.3831799058145	1.76515757033852e-243	0	651	458003758520104064	Pazopanib	+ IR	F10	AstroD-IR-3uM-plate2	3uM	SAMPLE	AstroD-IR-3uM-plate2	77075.4848484848
4	1	k11	SAMPLE	Propranolol hydrochloride	-0.0103897713542692	0.583706394200314	0.11136967586842	0.104321572525045	1.82554028685882	1.63241364539428	2.67187760356987	1.38298317147004	2.07478170873144e-243	0	668	418483989106648640	Propranolol hydrochloride	+ IR	K11	AstroD-IR-3uM-plate2	3uM	SAMPLE	AstroD-IR-3uM-plate2	67828.962962963
3	1	l07	SAMPLE	Belinostat	-1.7500137759589	-1.47101532240928	0.492203288024512	1.25041631173587	-0.332024055767244	-0.175516345665314	0.101445566654589	1.38074872357293	1.62248153135027e-242	0	417	995863182647355136	Belinostat	+ IR	L07	AstroD-IR-3uM-plate1	3uM	SAMPLE	AstroD-IR-3uM-plate1	133771.081081081
3	1	d18	SAMPLE	Icotinib	-0.280665330542961	0.181206275410844	0.447604544743174	-0.17664761203093	0.352741572279052	0.484421140365122	-0.37688500930857	1.37949360786158	5.09739833005506e-242	0	555	1654900919700950016	Icotinib	+ IR	D18	AstroD-IR-3uM-plate1	3uM	SAMPLE	AstroD-IR-3uM-plate1	89786.5
3	1	j11	SAMPLE	Crenolanib	-2.78351079120573	-1.73437896487811	-0.264479913200017	-0.064439101234338	-1.14079966195389	-0.701153813927347	-0.938434333095448	1.37519364412741	2.68230069305566e-240	0	462	998418085388351488	Crenolanib	+ IR	J11	AstroD-IR-3uM-plate1	3uM	SAMPLE	AstroD-IR-3uM-plate1	118072.863636364
2	1	i16	SAMPLE	Tozasertib	-0.631592353958696	-0.994585223841684	-0.169801721529489	0.156000565865445	-0.241709303864309	-0.371495452392763	-0.420042230084791	1.373482322876	1.27838812530571e-239	0	353	509894700532097984	Tozasertib	+ IR	I16	AstroD-IR-1uM-plate2	1uM	SAMPLE	AstroD-IR-1uM-plate2	96529.6666666667
1	1	j13	SAMPLE	Doxifluridine	0.463204528980797	0.00348286618821476	0.812108068843463	-0.608280120659065	1.26589897946346	-0.0895891651079703	0.735365400202582	1.37253075415651	3.01764894394485e-239	0	123	6672770395699225600	Doxifluridine	+ IR	J13	AstroD-IR-1uM-plate1	1uM	SAMPLE	AstroD-IR-1uM-plate1	100862.529411765
2	1	f17	SAMPLE	Ulipristal acetate	-0.65581712455042	0.090313473440588	1.29856914211031	-0.237111005845542	0.145293081847285	-1.34912742725389	1.26771114683622	1.37196050126611	5.00999916280383e-239	0	364	1000765749255386368	Ulipristal acetate	+ IR	F17	AstroD-IR-1uM-plate2	1uM	SAMPLE	AstroD-IR-1uM-plate2	117009.152173913
4	1	j06	SAMPLE	LY2835219	0.975990102287789	-0.737504264644689	-1.25478275400247	-0.866350867435721	1.62399238437307	0.231272660698668	0.995338994703146	1.3716502499502	6.54575047010701e-239	0	612	505570774248537408	LY2835219	+ IR	J06	AstroD-IR-3uM-plate2	3uM	SAMPLE	AstroD-IR-3uM-plate2	72982.0344827586
3	1	d09	SAMPLE	Cabozantinib	-0.0350423065603235	-0.489364280813874	-0.463246999703197	0.535085370344311	0.357776429454005	0.454619374063855	-0.963948362170308	1.36667486468446	6.25098914957215e-237	0	434	475989995010884928	Cabozantinib	+ IR	D09	AstroD-IR-3uM-plate1	3uM	SAMPLE	AstroD-IR-3uM-plate1	76938.2631578947
4	1	i10	SAMPLE	Pemetrexed Disodium Hydrate	-0.00723615855514274	0.753715908741548	1.89512107717364	0.405069669439483	1.00278064020042	0.0973302584688855	0.963700490938964	1.36551932283975	1.77270887415797e-236	0	654	698958175263328896	Pemetrexed Disodium Hydrate	+ IR	I10	AstroD-IR-3uM-plate2	3uM	SAMPLE	AstroD-IR-3uM-plate2	121431.913043478
2	1	d08	SAMPLE	Nelarabine	-1.0653995969841	0.482738986849843	0.845100315208897	-1.02085547945312	0.245370206876523	-0.430621898018732	1.18879661292386	1.35744214565193	2.80133147775066e-233	0	252	2690274534891392512	Nelarabine	+ IR	D08	AstroD-IR-1uM-plate2	1uM	SAMPLE	AstroD-IR-1uM-plate2	117340.25
4	1	m07	SAMPLE	Mocetinostat	-0.0579669346642916	-0.0109114609858775	-0.584878241859876	0.609988837113986	0.434077311438781	-1.06597806061693	0.351721489917885	1.35480582701348	3.03110687283737e-232	0	626	638014299454694400	Mocetinostat	+ IR	M07	AstroD-IR-3uM-plate2	3uM	SAMPLE	AstroD-IR-3uM-plate2	112550.96875
4	1	h16	SAMPLE	Tosedostat	-0.668219273397109	-0.827304964718518	-0.594715511045697	-1.3823260761003	1.06384348401375	1.52973625173459	0.752555633324393	1.35447024983384	4.04220968221553e-232	0	728	715668787532751616	Tosedostat	+ IR	H16	AstroD-IR-3uM-plate2	3uM	SAMPLE	AstroD-IR-3uM-plate2	77330.8636363636
1	1	h05	SAMPLE	5-Azacytidine	0.155873536823245	-0.249292941585224	-1.58990256372897	0.0191297416336203	0.813915427924743	-0.558531780402692	-0.0452757579827911	1.34643415076574	5.74890995676109e-229	0	9	1422492814723928320	5-Azacytidine	+ IR	H05	AstroD-IR-1uM-plate1	1uM	SAMPLE	AstroD-IR-1uM-plate1	89163.6052631579
4	1	h14	SAMPLE	Sulindac	0.375493474585595	-0.746029113089636	0.871631140675174	-0.753075408412895	0.956424834868818	0.83153873467567	-0.232930076527063	1.34614539270829	7.33768131558115e-229	0	704	727556206857789696	Sulindac	+ IR	H14	AstroD-IR-3uM-plate2	3uM	SAMPLE	AstroD-IR-3uM-plate2	90854.5172413793
3	1	m03	SAMPLE	Erbstatin analog	-0.512767404282111	-0.854618144739044	-0.131976067529143	1.73793008221245	0.220667162857428	0.793893154993363	-1.06428326054079	1.34413145890537	4.43497046687268e-228	0	516	488117537692422720	Erbstatin analog	+ IR	M03	AstroD-IR-3uM-plate1	3uM	SAMPLE	AstroD-IR-3uM-plate1	90865.7567567568
3	1	e17	SAMPLE	Goserelin acetate	-0.547885930557345	-1.34061607880342	-0.0618776772464634	0.131324812453375	-0.599099545530554	-0.364058398155398	-1.33164586335011	1.33880954766892	5.20877398036811e-226	0	544	1269482259439036672	Goserelin acetate	+ IR	E17	AstroD-IR-3uM-plate1	3uM	SAMPLE	AstroD-IR-3uM-plate1	91239
2	1	c17	SAMPLE	Trilostane	-1.02561790136537	1.83246815206418	0.0935664790915621	0.511342460226534	1.53290465548278	1.19582036821999	1.10192123895908	1.33556095865869	9.395514803679e-225	0	359	1615931096838615552	Trilostane	+ IR	C17	AstroD-IR-1uM-plate2	1uM	SAMPLE	AstroD-IR-1uM-plate2	94964.5357142857
3	1	n13	SAMPLE	Eltrombopag Olamine	-0.221993230024116	-2.29480667253415	-1.40963674768467	1.5346142717157	0.0505638117097017	-0.42106451096933	-1.04985277990834	1.33338021756122	6.48706179469661e-224	0	505	191804437689614432	Eltrombopag Olamine	+ IR	N13	AstroD-IR-3uM-plate1	3uM	SAMPLE	AstroD-IR-3uM-plate1	79182.4
1	1	g04	SAMPLE	Erbstatin analog	0.5010501313089	1.03949226897304	1.52921051460904	0.963261085882583	1.01988137807608	0.784525281927305	0.659455435634316	1.32690607586095	2.02842829733985e-221	0	137	6655714901385829376	Erbstatin analog	+ IR	G04	AstroD-IR-1uM-plate1	1uM	SAMPLE	AstroD-IR-1uM-plate1	96022.2
4	1	g06	SAMPLE	Lonafarnib	-1.66728133404765	-1.79232633795165	-0.804772294966872	0.969516766547645	-0.679906107960774	-0.644804513898478	-0.41321246564376	1.3188493163797	2.47866997685128e-218	0	609	929896021360381568	Lonafarnib	+ IR	G06	AstroD-IR-3uM-plate2	3uM	SAMPLE	AstroD-IR-3uM-plate2	119226.243243243
1	1	e16	SAMPLE	Flutamide	-0.654365141765216	-0.987866827924585	-0.102205185823546	0.0602169024096473	-0.403753412254318	-0.414765313855992	0.299882936306868	1.31426658374534	1.37304850337162e-216	0	155	1200367506591924992	Flutamide	+ IR	E16	AstroD-IR-1uM-plate1	1uM	SAMPLE	AstroD-IR-1uM-plate1	101770.805555556
3	1	i19	NEGATIVE	DMSO	-0.235839552996176	-1.10046436449814	0.939148483010053	0.011009508735279	-0.498354369375077	-1.21183386390156	-2.20146051755705	1.31212434818487	8.84964894054996e-216	0	497	1358273553977399040	DMSO	+ IR	I19	AstroD-IR-3uM-plate1	3uM	NEG	AstroD-IR-3uM-plate1	113668.675
4	1	c12	SAMPLE	Raloxifene hydrochloride	0.992955374571689	0.987101175281544	0.0869306391219716	-0.00442513360859348	1.53065683018419	-0.701384140483638	0.267490169756787	1.30867492625539	1.78104709702474e-214	0	672	251825348099671264	Raloxifene hydrochloride	+ IR	C12	AstroD-IR-3uM-plate2	3uM	SAMPLE	AstroD-IR-3uM-plate2	78145.65625
3	1	n10	SAMPLE	Chlorpromazine hydrochloride	-0.475168382033925	-0.725119212270889	-0.506068778038105	-0.483283030624407	-0.475398787689255	-1.11095669633401	-1.991517366112	1.30740805115983	5.30437952349396e-214	0	454	712442200225335680	Chlorpromazine hydrochloride	+ IR	N10	AstroD-IR-3uM-plate1	3uM	SAMPLE	AstroD-IR-3uM-plate1	90403.8
1	1	g06	SAMPLE	Alpelisib	-0.0480717838436846	-0.098377469661813	0.247853184973901	-0.234922549579264	-0.00404074942010712	-0.912802681648612	-0.464978020721093	1.29925264602961	6.25683852805127e-211	0	20	2021638108424843520	Alpelisib	+ IR	G06	AstroD-IR-1uM-plate1	1uM	SAMPLE	AstroD-IR-1uM-plate1	101692.58974359
3	1	f19	NEGATIVE	DMSO	-1.30259746983626	-0.970934034601165	0.446555932235088	0.0973422122383938	-0.975154373545985	-0.96773933217182	-1.58947671800194	1.29505583358455	2.31999197258269e-209	0	491	710064673284571776	DMSO	+ IR	F19	AstroD-IR-3uM-plate1	3uM	NEG	AstroD-IR-3uM-plate1	110169.103448276
4	1	i15	SAMPLE	Thioguanine	0.584625918783823	0.914825657776168	0.0901205882127417	-0.188309522165552	1.32133408804687	0.438381294538327	0.0979343566718456	1.29383151654674	6.57602572814878e-209	0	717	623261021674543616	Thioguanine	+ IR	I15	AstroD-IR-3uM-plate2	3uM	SAMPLE	AstroD-IR-3uM-plate2	73729.45
3	1	l14	SAMPLE	EPZ6438	0.391000648754112	-1.25108843879271	1.43988412749054	-0.958192902522573	0.7504551743036	0.523126216627591	0.751121681855193	1.29194689029459	3.28665526537219e-208	0	514	3968552807094471680	EPZ6438	+ IR	L14	AstroD-IR-3uM-plate1	3uM	SAMPLE	AstroD-IR-3uM-plate1	106264.485714286
2	1	d12	SAMPLE	Raltitrexed	-0.157639230068054	-0.116487116098781	0.490811817891728	-0.440638309330955	0.037683504177092	-1.89973541220281	1.28434357196775	1.2896879913888	2.25932510365601e-207	0	300	3406416274673954304	Raltitrexed	+ IR	D12	AstroD-IR-1uM-plate2	1uM	SAMPLE	AstroD-IR-1uM-plate2	121867.678571429
3	1	l08	SAMPLE	Brigatinib	0.177937089692686	0.202229779959232	-0.215754724578486	-1.25886572749766	2.19792398589665	2.06139326934341	0.577460845479777	1.28790935163764	1.02528902495841e-206	0	430	457294375994482304	Brigatinib	+ IR	L08	AstroD-IR-3uM-plate1	3uM	SAMPLE	AstroD-IR-3uM-plate1	70081.5789473684
